character,accuracy,correct,total,percentage_%
244:'ô',0.06685236768802229,24,359,6.685236768802229
252:'ü',0.0681198910081744,25,367,6.811989100817439
17:'\x11',0.06937799043062201,29,418,6.937799043062201
123:'{',0.07039337474120083,34,483,7.039337474120083
130:'\x82',0.07042253521126761,15,213,7.042253521126761
227:'ã',0.07204610951008646,25,347,7.204610951008646
110:'n',0.07366071428571429,33,448,7.366071428571429
"34:'""'",0.07715430861723446,77,998,7.715430861723446
250:'ú',0.07756232686980609,28,361,7.756232686980609
116:'t',0.084,42,500,8.4
9:'\t',0.08870967741935484,22,248,8.870967741935484
107:'k',0.09012875536480687,42,466,9.012875536480687
212:'Ô',0.09063444108761329,30,331,9.06344410876133
246:'ö',0.09063444108761329,30,331,9.06344410876133
113:'q',0.09395973154362416,42,447,9.395973154362416
216:'Ø',0.0958904109589041,49,511,9.58904109589041
203:'Ë',0.09693877551020408,38,392,9.693877551020408
192:'À',0.0995850622406639,48,482,9.95850622406639
131:'\x83',0.10377358490566038,22,212,10.377358490566039
178:'²',0.10551558752997602,44,417,10.551558752997602
101:'e',0.10651828298887123,67,629,10.651828298887123
241:'ñ',0.10818713450292397,37,342,10.818713450292398
137:'\x89',0.10909090909090909,24,220,10.909090909090908
184:'¸',0.10972568578553615,44,401,10.972568578553615
106:'j',0.11464968152866242,54,471,11.464968152866243
33:'!',0.12042389210019268,125,1038,12.042389210019268
10:'\n',0.12096774193548387,30,248,12.096774193548388
25:'\x19',0.12234910277324633,75,613,12.234910277324634
112:'p',0.12526997840172785,58,463,12.526997840172784
143:'\x8f',0.12755102040816327,25,196,12.755102040816327
28:'\x1c',0.1291759465478842,58,449,12.91759465478842
220:'Ü',0.13441955193482688,66,491,13.441955193482688
167:'§',0.13769751693002258,61,443,13.769751693002258
202:'Ê',0.1383399209486166,70,506,13.83399209486166
59:';',0.1394335511982571,64,459,13.943355119825709
238:'î',0.14124293785310735,50,354,14.124293785310735
181:'µ',0.1424802110817942,54,379,14.24802110817942
30:'\x1e',0.14310344827586208,83,580,14.310344827586208
251:'û',0.14600550964187328,53,363,14.600550964187327
102:'f',0.1489795918367347,73,490,14.897959183673471
15:'\x0f',0.15458937198067632,64,414,15.458937198067632
100:'d',0.15644171779141106,102,652,15.644171779141105
163:'£',0.1608695652173913,74,460,16.08695652173913
93:']',0.16804979253112035,81,482,16.804979253112034
218:'Ú',0.16938775510204082,83,490,16.93877551020408
29:'\x1d',0.16941176470588235,72,425,16.941176470588236
243:'ó',0.17232375979112272,66,383,17.232375979112273
188:'¼',0.17286652078774617,79,457,17.286652078774615
200:'È',0.17333333333333334,65,375,17.333333333333336
125:'}',0.1746880570409982,98,561,17.46880570409982
114:'r',0.17523364485981308,75,428,17.523364485981308
168:'¨',0.17701149425287357,77,435,17.70114942528736
64:'@',0.17857142857142858,90,504,17.857142857142858
172:'¬',0.18213660245183888,104,571,18.21366024518389
239:'ï',0.18361581920903955,65,354,18.361581920903955
235:'ë',0.18803418803418803,66,351,18.803418803418804
191:'¿',0.18848167539267016,72,382,18.848167539267017
245:'õ',0.19122257053291536,61,319,19.122257053291534
180:'´',0.2,79,395,20.0
198:'Æ',0.20441988950276244,111,543,20.441988950276244
232:'è',0.20903954802259886,74,354,20.903954802259886
214:'Ö',0.21839080459770116,76,348,21.839080459770116
46:'.',0.22320441988950276,202,905,22.320441988950275
164:'¤',0.22966507177033493,96,418,22.966507177033492
248:'ø',0.2298507462686567,77,335,22.98507462686567
208:'Ð',0.23076923076923078,78,338,23.076923076923077
182:'¶',0.23636363636363636,91,385,23.636363636363637
165:'¥',0.24029126213592233,99,412,24.029126213592235
109:'m',0.24065420560747663,103,428,24.065420560747665
230:'æ',0.2442159383033419,95,389,24.42159383033419
249:'ù',0.25595238095238093,86,336,25.595238095238095
224:'à',0.2565597667638484,88,343,25.65597667638484
119:'w',0.2579185520361991,114,442,25.791855203619914
171:'«',0.25942350332594233,117,451,25.942350332594234
